timeseries,asset
pi_160627,WMT:23-PDT-92501
pi_161021,WMT:23
pi_160252,WMT:23-KA-9101-M01
pi_160731,WMT:23-PT-96186-01
pi_160031,WMT:23-FIC-92543
pi_161024,WMT:23
pi_160920,WMT:23
pi_160574,WMT:23-LE-92529
pi_160061,WMT:23
pi_160060,WMT:23
pi_160072,WMT:23-PIC-92538
pi_160919,WMT:23
pi_160623,WMT:23-PDI-96249
pi_160244,WMT:23-KA-9101-M01
pi_160836,WMT:23-TIC-96147
pi_160259,WMT:23-KA-9101-M01
pi_161062,WMT:23-YZSL-92545
pi_160670,WMT:23-PIC-96153
pi_160566,WMT:23-LE-92529
pi_160030,WMT:23-FIC-92543
pi_160765,WMT:23-TE-96137-01
pi_160785,WMT:23-TIC-92604
pi_160223,WMT:23-KA-9101
pi_163659,WMT:45-TT-92607B
pi_160179,WMT:23-FI-92512A
pi_160775,WMT:23-TIC-92504
pi_160632,WMT:23-PDT-92551
pi_160560,WMT:23-LE-92529
pi_160182,WMT:23-FT-92512
pi_160729,WMT:23-PT-96160-02
pi_160886,WMT:23-TT-92539
pi_160925,WMT:23
pi_163523,WMT:45-PDT-92606
pi_160732,WMT:23-PT-96186-02
pi_160261,WMT:23-KA-9101-M01
pi_160068,WMT:23-KA-9101-M01
pi_160500,WMT:23-LIC-92521
pi_160545,WMT:23-LE-92529
pi_160912,WMT:23
pi_160929,WMT:23-TT-96147-02
pi_161069,WMT:23
pi_160725,WMT:23-PT-96156-02
pi_160260,WMT:23-KA-9101-M01
pi_160577,WMT:23-NY-96144
pi_160171,WMT:23-FE-9122
pi_160696,WMT:23-PT-92504
pi_160576,WMT:23-NY-96144
pi_160192,WMT:23-FT-96158
pi_160667,WMT:23-PIC-96153
pi_160918,WMT:23
pi_160119,WMT:23
pi_160613,WMT:23-PC-9109-M01-39
pi_160248,WMT:23-KA-9101-M01
pi_160845,WMT:23-TIC-96148
pi_160555,WMT:23-LE-92529
pi_160118,WMT:23
pi_160671,WMT:23-PIC-96153
pi_160563,WMT:23-LE-92529
pi_161057,WMT:23-YZSH-92545
pi_160565,WMT:23-LE-92529
pi_163364,WMT:45-FT-92139A
pi_160829,WMT:23-TIC-96147
pi_160924,WMT:23
pi_160170,WMT:23-FE-9122-39
pi_160885,WMT:23-TT-92537
pi_160913,WMT:23
pi_160226,WMT:23-KA-9101
pi_160556,WMT:23-LE-92529
pi_160180,WMT:23-FI-92512B
pi_160202,WMT:23-FZSL-92542
pi_160783,WMT:23-TIC-92604
pi_160568,WMT:23-LE-92529
pi_160116,WMT:23
pi_160933,WMT:23-TT-96181-03
pi_160247,WMT:23-KA-9101-M01
pi_160703,WMT:23-PT-92539
pi_160521,WMT:23-LT-92529-02
pi_160542,WMT:23-LE-92529
pi_160270,WMT:23-KA-9101-M01
pi_160537,WMT:23-LV-92521B
pi_160567,WMT:23-LE-92529
pi_160835,WMT:23-TIC-96147
pi_160543,WMT:23-LE-92529
pi_161017,WMT:23
pi_160587,WMT:23-NY-96144
pi_160117,WMT:23
pi_160647,WMT:23-PDT-96161
pi_160546,WMT:23-LE-92529
pi_160492,WMT:23-LIC-92521
pi_160586,WMT:23-NY-96144
pi_191153,WMT:23-TIC-92604B
pi_160105,WMT:23-PT-92537
pi_160882,WMT:23-TT-92502
pi_160930,WMT:23-TT-96168
pi_160191,WMT:23-FT-96152
pi_160840,WMT:23-TIC-96148
pi_160229,WMT:23-KA-9101-M01
pi_160529,WMT:23-LT-96182-03
pi_160832,WMT:23-TIC-96147
pi_160075,WMT:23-PIC-92538
pi_160077,WMT:23-PIC-92538
pi_160730,WMT:23-PT-96160-03
pi_160493,WMT:23-LIC-92521
pi_160926,WMT:23
pi_160269,WMT:23-KA-9101-M01
pi_160841,WMT:23-TIC-96148
pi_160722,WMT:23-PT-96150-01
pi_160570,WMT:23-LE-92529
pi_160554,WMT:23-LE-92529
pi_160569,WMT:23-LE-92529
pi_160629,WMT:23-PDT-92522
pi_160238,WMT:23-KA-9101-M01
pi_160111,WMT:23-TT-92536
pi_161004,WMT:23
pi_160073,WMT:23-PIC-92538
pi_160148,WMT:23-ESDV-92521-PST
pi_161025,WMT:23
pi_160081,WMT:23-PIC-92538
pi_163655,WMT:45-TT-92506
pi_160614,WMT:23-PC-9109-M01
pi_160665,WMT:23-PIC-96153
pi_195975,WMT:23
pi_161061,WMT:23-YZSL-92526
pi_161027,WMT:23
pi_160928,WMT:23
pi_160220,WMT:23-KA-9101
pi_160080,WMT:23-PIC-92538
pi_160922,WMT:23
pi_160520,WMT:23-LT-92523-02
pi_160156,WMT:23-FE-9106
pi_161056,WMT:23-YZSH-92526
pi_160147,WMT:23-ESDV-92501B-PST
pi_161005,WMT:23
pi_160536,WMT:23-LV-92521A
pi_160130,WMT:23
pi_160140,WMT:23-ZT-92538
pi_160628,WMT:23-PDT-92502
pi_160995,WMT:23-VA-9110-M01
pi_160697,WMT:23-PT-92512
pi_160666,WMT:23-PIC-96153
pi_160227,WMT:23-KA-9101
pi_160552,WMT:23-LE-92529
pi_160257,WMT:23-KA-9101-M01
pi_160146,WMT:23-ESDV-92501A-PST
pi_160272,WMT:23-KA-9101-M01
pi_160702,WMT:23-PT-92536
pi_160559,WMT:23-LE-92529
pi_160218,WMT:23-KA-9101
pi_160917,WMT:23
pi_160499,WMT:23-LIC-92521
pi_160923,WMT:23
pi_160791,WMT:23-TIC-92604
pi_160141,WMT:23-ZT-92543
pi_160728,WMT:23-PT-96160-01
pi_161084,WMT:23-ZS-96142A
pi_160927,WMT:23
pi_161019,WMT:23
pi_160557,WMT:23-LE-92529
pi_160548,WMT:23-LE-92529
pi_160578,WMT:23-NY-96144
pi_160527,WMT:23-LT-96182-01
pi_160727,WMT:23-PT-96157-02
pi_160779,WMT:23-TIC-92504
pi_161023,WMT:23
pi_191091,WMT:23-TIC-92604B
pi_160786,WMT:23-TIC-92604
pi_160776,WMT:23-TIC-92504
pi_160777,WMT:23-TIC-92504
pi_160906,WMT:23
pi_160074,WMT:23-PIC-92538
pi_160225,WMT:23-KA-9101
pi_161085,WMT:23-ZS-96142B
pi_160888,WMT:23-TT-92603
pi_160668,WMT:23-PIC-96153
pi_160079,WMT:23-PIC-92538
pi_160622,WMT:23
pi_160782,WMT:23-TIC-92504
pi_160612,WMT:23-PC-9109-M01
pi_160129,WMT:23
pi_160067,WMT:23-KA-9101-M01
pi_160262,WMT:23-KA-9101-M01
pi_160149,WMT:23-ESDV-92551A-PST
pi_161003,WMT:23
pi_160921,WMT:23
pi_160581,WMT:23-NY-96144
pi_163583,WMT:45-PT-92609
pi_160131,WMT:23
pi_160833,WMT:23-TIC-96147
pi_163374,WMT:45-FT-92606
pi_163522,WMT:45-PDT-92506
pi_160258,WMT:23-KA-9101-M01
pi_160150,WMT:23-ESDV-92551B-PST
pi_160528,WMT:23-LT-96182-02
pi_160645,WMT:23-PDT-96146
pi_160032,WMT:23-FIC-92543
pi_160787,WMT:23-TIC-92604
pi_160243,WMT:23-KA-9101-M01
pi_161014,WMT:23
pi_160883,WMT:23-TT-92512
pi_163658,WMT:45-TT-92607A
pi_160547,WMT:23-LE-92529
pi_160228,WMT:23-KA-9101
pi_163657,WMT:45-TT-92606
pi_160644,WMT:23-PDT-96143
pi_160519,WMT:23-LT-92523-01
pi_160496,WMT:23-LIC-92521
pi_160549,WMT:23-LE-92529
pi_160884,WMT:23-TT-92533
pi_160193,WMT:23-FT-96159
pi_160844,WMT:23-TIC-96148
pi_160038,WMT:23-FIC-92543
pi_160553,WMT:23-LE-92529
pi_160934,WMT:23-TT-96183
pi_160914,WMT:23
pi_160217,WMT:23-KA-9101
pi_160887,WMT:23-TT-92602
pi_160648,WMT:23-PDT-96162
pi_160911,WMT:23
pi_160789,WMT:23-TIC-92604
pi_160254,WMT:23-KA-9101-M01
pi_160837,WMT:23-TIC-96148
pi_160236,WMT:23-KA-9101-M01
pi_160780,WMT:23-TIC-92504
pi_160580,WMT:23-NY-96144
pi_160497,WMT:23-LIC-92521
pi_160033,WMT:23-FIC-92543
pi_160237,WMT:23-KA-9101-M01
pi_160621,WMT:23
pi_160701,WMT:23-PT-92535
pi_160190,WMT:23-FT-96151
pi_160767,WMT:23-TE-96137-03
pi_160550,WMT:23-LE-92529
pi_160253,WMT:23-KA-9101-M01
pi_160242,WMT:23-KA-9101-M01
pi_160558,WMT:23-LE-92529
pi_161015,WMT:23
pi_163656,WMT:45-TT-92508
pi_160154,WMT:23-FE-9106-39
pi_160035,WMT:23-FIC-92543
pi_160263,WMT:23-KA-9101-M01
pi_161066,WMT:23
pi_160828,WMT:23-TIC-96147
pi_160183,WMT:23-FT-92521
pi_160498,WMT:23-LIC-92521
pi_160495,WMT:23-LIC-92521
pi_160790,WMT:23-TIC-92604
pi_160932,WMT:23-TT-96181-02
pi_160271,WMT:23-KA-9101-M01
pi_160266,WMT:23-KA-9101-M01-39B
pi_160774,WMT:23-TIC-92504
pi_160221,WMT:23-KA-9101
pi_160078,WMT:23-PIC-92538
pi_160931,WMT:23-TT-96181-01
pi_161071,WMT:23
pi_160830,WMT:23-TIC-96147
pi_160993,WMT:23-VA-9110-M01
pi_160579,WMT:23-NY-96144
pi_160036,WMT:23-FIC-92543
pi_160704,WMT:23-PT-92540
pi_160633,WMT:23-PDT-92602
pi_161068,WMT:23
pi_161016,WMT:23
pi_160241,WMT:23-KA-9101-M01
pi_160268,WMT:23-KA-9101-M01
pi_160208,WMT:23-GK-9107B-M01
pi_160544,WMT:23-LE-92529
pi_160698,WMT:23-PT-92521
pi_160582,WMT:23-NY-96144
pi_160264,WMT:23-KA-9101-M01-36A
pi_160172,WMT:23-FE-9122
pi_160778,WMT:23-TIC-92504
pi_160834,WMT:23-TIC-96147
pi_160723,WMT:23-PT-96150-02
pi_163582,WMT:45-PT-92608
pi_160646,WMT:23-PDT-96155
pi_160631,WMT:23-PDT-92534
pi_160583,WMT:23-NY-96144
pi_160573,WMT:23-LE-92529
pi_160669,WMT:23-PIC-96153
pi_160561,WMT:23-LE-92529
pi_160781,WMT:23-TIC-92504
pi_160831,WMT:23-TIC-96147
pi_160224,WMT:23-KA-9101
pi_163373,WMT:45-FT-92506
pi_160250,WMT:23-KA-9101-M01
pi_160207,WMT:23-GK-9107B-M01
pi_160232,WMT:23-KA-9101-M01
pi_160037,WMT:23-FIC-92543
pi_160249,WMT:23-KA-9101-M01
pi_161002,WMT:23
pi_160233,WMT:23-KA-9101-M01
pi_160039,WMT:23-FIC-92543
pi_160733,WMT:23-PT-96186-03
pi_160205,WMT:23-GK-9107A-M01
pi_160246,WMT:23-KA-9101-M01
pi_160240,WMT:23-KA-9101-M01
pi_160230,WMT:23-KA-9101-M01
pi_160564,WMT:23-LE-92529
pi_160562,WMT:23-LE-92529
pi_160245,WMT:23-KA-9101-M01
pi_160784,WMT:23-TIC-92604
pi_160071,WMT:23-PIC-92538
pi_160788,WMT:23-TIC-92604
pi_160251,WMT:23-KA-9101-M01
pi_160575,WMT:23-LE-92529
pi_160184,WMT:23-FT-92537-01
pi_161022,WMT:23
pi_161020,WMT:23
pi_160255,WMT:23-KA-9101-M01
pi_160726,WMT:23-PT-96157-01
pi_160585,WMT:23-NY-96144
pi_160907,WMT:23
pi_160267,WMT:23-KA-9101-M01-62B
pi_160206,WMT:23-GK-9107A-M01
pi_160219,WMT:23-KA-9101
pi_160700,WMT:23-PT-92532
pi_161018,WMT:23
pi_160104,WMT:23-PT-92531
pi_160522,WMT:23-LT-92529-03
pi_160720,WMT:23-PT-96149-01
pi_160034,WMT:23-FIC-92543
pi_160572,WMT:23-LE-92529
pi_191092,WMT:23-TT-92604A
pi_160649,WMT:23-PDT-96167
pi_160235,WMT:23-KA-9101-M01
pi_160910,WMT:23
pi_160650,WMT:23-PDT-96180
pi_160915,WMT:23
pi_160494,WMT:23-LIC-92521
pi_160724,WMT:23-PT-96156-01
pi_160234,WMT:23-KA-9101-M01
pi_160110,WMT:23-TT-92532
pi_160908,WMT:23
pi_161067,WMT:23
